Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"145830639800",SEO Backlinks | Dofollow Backlinks | Backlinks | Limited Time Offer,,,"3","FIXED_PRICE","USD",9.99,,,9.99,"0","","","Jun-13-24 01:42:50 PDT","Jan-13-26 01:42:50 PST","Other Specialty Services","317","","","","","","","","","US","","",""
"145830768732",500 HomePage PBN SEO Backlinks (All Dofollow + High DA),,,"3","FIXED_PRICE","USD",9.99,,,9.99,"0","","","Jun-13-24 03:38:12 PDT","Jan-13-26 03:38:12 PST","Other Specialty Services","317","","","","","","","","","US","","",""
"145832138186",330+ High Quality Wiki articles contextual seo backlinks,,,"2","FIXED_PRICE","USD",9.99,,,9.99,"2","0","","Jun-13-24 22:35:56 PDT","Jan-13-26 22:35:56 PST","Internet Businesses & Websites","46689","","","","","","","","","US","","",""
"145832156183",100 + GERMAN backlinks manual link building high DA dofollow SEO,,,"2","FIXED_PRICE","USD",15.99,,,15.99,"0","","","Jun-13-24 22:50:26 PDT","Jan-13-26 22:50:26 PST","Internet Businesses & Websites","46689","","","","","","","","","US","","",""
"145917415772",SEO Backlinks | Dofollow Backlinks | Backlinks | Limited Time Offer!,,,"4","FIXED_PRICE","USD",8.99,,,8.99,"2","5","","Jul-29-24 00:33:45 PDT","Dec-29-25 00:33:45 PST","Internet Businesses & Websites","46689","","","","","","","","","US","","",""
"145919408223",1000 High Quality SEO Contextual Backlinks,,,"4","FIXED_PRICE","USD",15.99,,,15.99,"1","1","","Jul-29-24 22:21:57 PDT","Dec-29-25 22:21:57 PST","Internet Businesses & Websites","46689","","","","","","","","","US","","",""
"145922156275",Anchor Text Backlinks | SEO Backlinks | Limited Time Offer!,,,"3","FIXED_PRICE","USD",8.99,,,8.99,"1","1","","Jul-31-24 05:53:50 PDT","Dec-31-25 05:53:50 PST","Internet Businesses & Websites","46689","","","","","","","","","US","","",""
"146054053529",google maps for local SEO premium promtion package rank no1 on gmb,,,"5","FIXED_PRICE","USD",25.0,,,25.0,"0","","","Sep-25-24 06:19:04 PDT","Jan-25-26 06:19:04 PST","Marketing","46690","","","","","","","","","US","","",""
"146361238638",Website Design Service - Online Store E-commerce design - Your own web shop,,,"5","FIXED_PRICE","USD",200.0,,,200.0,"0","1","","Jan-30-25 22:03:51 PST","Dec-30-25 22:03:51 PST","Internet Businesses & Websites","46689","","","","","","","","","US","","",""
"146362769724",1 PAGE PROFESSIONAL WEBSITE DESIGN PERSONAL / BUSINESS,,,"5","FIXED_PRICE","USD",25.0,,,25.0,"2","4","","Jan-31-25 21:50:08 PST","Dec-31-25 21:50:08 PST","Internet Businesses & Websites","46689","","","","","","","","","US","","",""
